time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,12.3,4.8,20.8,,,,7.3,,,
2016-01-02,12.1,3.8,20.8,0.0,,,6.5,,,
2016-01-03,13.0,4.7,20.8,,,,,,,
2016-01-04,14.2,10.7,17.8,,,265.0,11.2,,,
2016-01-05,13.1,8.2,21.8,,,,5.7,,,
2016-01-06,11.9,7.7,17.8,,,,4.4,,,
2016-01-07,13.2,7.7,20.8,,,296.0,17.1,,,
2016-01-08,13.1,,,,,,,,,
2016-01-09,11.9,6.2,18.8,,,,9.6,,,
2016-01-10,11.6,4.7,20.8,,,,5.5,,,
2016-01-11,12.3,4.8,20.8,,,69.0,8.5,,,
2016-01-12,9.8,5.2,12.8,0.0,,,13.0,,,
2016-01-13,10.2,5.8,16.8,42.9,,257.0,7.7,,,
2016-01-14,10.7,6.8,16.8,0.0,,,4.9,,,
2016-01-15,11.2,6.7,18.8,,,,9.7,,,
2016-01-16,10.4,,,,,,,,,
2016-01-17,8.5,,,,,,,,,
2016-01-18,10.3,,,,,,,,,
2016-01-19,10.2,6.7,16.8,,,,9.6,,,
2016-01-20,8.4,2.8,16.8,,,,11.5,,,
2016-01-21,7.6,5.7,10.8,,,,10.2,,,
2016-01-22,7.6,4.8,13.8,,,143.0,7.1,,,
2016-01-23,6.3,2.8,10.8,0.0,,,5.1,,,
2016-01-24,6.8,2.2,13.7,,,,2.1,,,
2016-01-25,9.8,2.2,16.8,,,,4.5,,,
2016-01-26,11.1,6.8,17.8,,,28.0,12.1,,,
2016-01-27,13.8,7.8,20.8,,,304.0,13.0,,,
2016-01-28,12.8,7.7,17.8,,,,7.3,,,
2016-01-29,11.5,,,1.0,,,,,,
2016-01-30,11.1,7.7,14.8,140.0,,,6.6,,,
2016-01-31,10.8,4.7,19.8,0.0,,,6.2,,,
2016-02-01,11.8,5.7,19.8,,,,8.5,,,
2016-02-02,12.1,5.8,19.8,,,,9.1,,,
2016-02-03,12.7,4.8,20.8,,,,11.5,,,
2016-02-04,12.0,4.8,18.8,,,,5.2,,,
2016-02-05,14.2,5.2,22.8,,,,,,,
2016-02-06,14.0,10.7,19.8,,,,9.0,,,
2016-02-07,15.7,10.8,20.8,,,,7.9,,,
2016-02-08,13.9,,,,,,,,,
2016-02-09,13.4,7.7,22.7,,,,,,,
2016-02-10,12.3,8.8,17.8,,,94.0,22.0,,,
2016-02-11,7.5,4.8,10.8,42.9,,336.0,21.1,,,
2016-02-12,9.5,4.7,15.8,,,,13.3,,,
2016-02-13,11.9,5.7,19.8,,,70.0,10.0,,,
2016-02-14,12.5,6.2,19.8,,,,7.9,,,
2016-02-15,11.9,5.8,20.8,,,,12.7,,,
2016-02-16,13.9,6.7,21.8,,,,7.7,,,
2016-02-17,14.8,7.8,24.8,,,,,,,
2016-02-18,15.9,7.7,26.8,,,,5.9,,,
2016-02-19,14.2,10.2,16.8,,,16.0,18.2,,,
2016-02-20,15.0,9.8,21.8,22.1,,,15.7,,,
2016-02-21,16.4,9.8,25.8,0.0,,,10.0,,,
2016-02-22,16.7,8.7,25.8,,,,18.5,,,
2016-02-23,18.4,10.2,29.8,,,316.0,19.0,,,
2016-02-24,17.5,8.8,26.8,,,95.0,12.4,,,
2016-02-25,19.5,12.2,27.8,,,,,,,
2016-02-26,18.6,11.7,26.8,,,,6.5,,,
2016-02-27,18.9,11.8,26.8,,,,7.8,,,
2016-02-28,19.2,11.7,27.8,,,,8.6,,,
2016-02-29,19.1,11.8,26.8,,,,5.9,,,
2016-03-01,19.2,12.8,25.8,,,,8.4,,,
