time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,21.9,14.1,30.1,0.0,,,6.2,,,
2016-01-02,20.9,14.1,29.1,0.0,,,5.5,,1020.6,
2016-01-03,21.4,15.1,30.1,0.0,,282.0,7.5,,1018.7,
2016-01-04,21.7,15.1,28.1,0.0,,,7.9,,,
2016-01-05,21.9,17.1,28.6,0.0,,,7.0,,1017.4,
2016-01-06,21.4,15.1,27.1,0.0,,,5.8,,,
2016-01-07,21.5,17.1,28.1,0.0,,35.0,7.4,,,
2016-01-08,20.7,14.1,27.1,0.0,,326.0,7.7,,1019.8,
2016-01-09,20.5,14.1,27.6,0.0,,,8.3,,1016.6,
2016-01-10,20.9,15.1,27.1,0.0,,,8.5,,,
2016-01-11,22.2,15.1,28.1,0.0,,241.0,9.6,,,
2016-01-12,22.2,19.1,28.1,0.0,,283.0,10.1,,,
2016-01-13,19.9,14.1,26.1,0.0,,38.0,9.0,,1015.7,
2016-01-14,19.4,14.1,26.1,0.0,,50.0,6.7,,,
2016-01-15,19.8,13.1,27.1,0.0,,,6.0,,,
2016-01-16,19.8,13.1,26.6,0.0,,,7.6,,,
2016-01-17,21.0,15.1,27.6,0.0,,222.0,8.9,,,
2016-01-18,20.8,16.1,27.6,0.0,,72.0,10.1,,1012.9,
2016-01-19,19.1,14.1,26.1,3.0,,,7.3,,1015.2,
2016-01-20,17.7,11.1,26.1,0.0,,,9.9,,,
2016-01-21,19.9,12.1,27.1,0.0,,,8.0,,,
2016-01-22,20.0,13.1,27.1,0.0,,209.0,7.8,,1017.5,
2016-01-23,19.2,13.1,25.6,0.0,,88.0,8.2,,1018.6,
2016-01-24,19.0,14.1,25.1,0.0,,54.0,8.1,,,
2016-01-25,19.7,13.1,25.1,0.0,,,5.4,,,
2016-01-26,21.7,16.1,26.6,0.0,,,8.0,,,
2016-01-27,20.5,18.1,24.1,0.0,,,8.4,,,
2016-01-28,21.7,16.1,26.1,0.0,,,7.4,,,
2016-01-29,24.0,,,0.0,,,,,,
2016-01-30,23.5,20.1,28.1,0.0,,254.0,13.8,,,
2016-01-31,21.8,17.1,27.6,0.0,,38.0,9.1,,,
2016-02-01,20.8,15.1,27.1,0.0,,8.0,7.8,,1017.9,
2016-02-02,20.4,14.1,27.6,0.0,,,6.4,,1018.1,
2016-02-03,20.3,13.1,29.1,0.0,,359.0,7.9,,,
2016-02-04,20.8,12.1,28.1,0.0,,306.0,8.7,,1016.9,
2016-02-05,21.1,15.6,26.6,0.0,,,,,,
