time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,14.8,7.0,21.0,0.0,,,,,,
2016-01-02,13.8,7.0,21.0,0.0,,,1.9,,1021.7,
2016-01-03,14.3,7.0,19.0,0.0,,,,,,
2016-01-04,14.8,6.0,17.0,0.0,,,5.9,,,
2016-01-05,16.0,8.0,22.0,0.0,,,6.1,,,
2016-01-06,16.4,10.0,21.0,0.0,,,3.1,,,
2016-01-07,16.0,8.0,23.5,0.0,,,,,,
2016-01-08,16.0,8.0,22.0,0.0,,,8.5,,,
2016-01-09,15.3,8.0,22.0,0.0,,,5.5,,1015.7,
2016-01-10,15.5,8.0,22.0,0.0,,,,,,
2016-01-11,15.9,8.0,20.0,0.0,,,3.3,,,
2016-01-12,14.3,9.0,19.0,0.0,,85.0,14.9,,,
2016-01-13,14.4,9.0,18.0,10.2,,,5.6,,,
2016-01-14,13.4,6.0,16.0,0.0,,,4.5,,,
2016-01-15,12.5,8.0,14.0,0.0,,273.0,7.4,,,
2016-01-16,12.1,7.0,16.0,0.0,,,5.3,,,
2016-01-17,12.1,7.0,14.0,0.0,,,4.2,,,
2016-01-18,10.5,6.0,12.0,0.0,,,7.1,,,
2016-01-19,9.9,4.0,14.0,0.0,,,4.2,,1016.1,
2016-01-20,11.4,6.0,11.0,0.0,,,4.8,,,
2016-01-21,9.6,5.0,12.0,0.0,,,3.7,,1020.4,
2016-01-22,8.7,6.0,9.0,0.0,,,6.6,,,
2016-01-23,8.5,6.5,11.0,0.0,,,5.5,,,
2016-01-24,8.4,4.0,11.0,0.0,,,4.5,,,
2016-01-25,8.1,4.0,10.0,0.0,,77.0,4.5,,,
2016-01-26,10.7,,,0.0,,,,,,
2016-01-27,13.4,6.0,19.0,0.0,,,3.3,,,
2016-01-28,15.4,7.0,21.0,0.0,,,4.5,,,
2016-01-29,14.1,,,4.1,,,,,,
2016-01-30,16.0,10.0,20.0,14.5,,11.0,9.0,,,
2016-01-31,14.8,11.0,20.0,0.0,,,7.7,,,
2016-02-01,14.4,7.0,21.0,0.0,,,4.1,,,
2016-02-02,14.5,7.0,22.0,0.0,,,2.7,,,
2016-02-03,16.1,7.0,22.4,0.0,,,7.0,,,
2016-02-04,15.8,8.0,23.0,0.0,,,7.1,,,
2016-02-05,15.8,12.0,24.0,0.0,,,,,,
2016-02-06,16.4,9.0,21.0,0.0,,,4.2,,,
2016-02-07,15.6,10.0,21.0,0.0,,,3.3,,,
2016-02-08,15.9,9.0,22.0,0.0,,,2.7,,1018.2,
2016-02-09,16.2,8.0,22.0,0.0,,,2.9,,,
2016-02-10,16.7,8.0,21.0,0.0,,,8.1,,,
2016-02-11,14.6,11.0,18.0,0.3,,95.0,14.4,,1010.4,
2016-02-12,14.7,7.0,19.0,0.0,,341.0,7.6,,,
2016-02-13,15.2,8.0,20.0,0.0,,,3.0,,,
2016-02-14,15.4,8.0,22.0,0.0,,,5.7,,,
2016-02-15,14.7,9.0,22.0,0.0,,,6.6,,,
2016-02-16,16.2,8.0,23.0,0.0,,,4.7,,,
2016-02-17,16.3,7.0,22.0,0.0,,,3.3,,,
2016-02-18,17.9,9.0,25.0,0.0,,,,,,
2016-02-19,19.2,13.0,22.8,0.0,,,7.2,,,
2016-02-20,19.6,15.0,24.0,2.5,,329.0,11.3,,1016.2,
2016-02-21,19.3,12.0,25.0,0.0,,296.0,10.6,,,
2016-02-22,20.6,12.0,27.0,0.0,,283.0,12.5,,,
2016-02-23,19.3,11.0,27.0,0.0,,282.0,9.1,,,
2016-02-24,19.7,11.0,26.0,0.0,,,7.9,,,
