time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,16.3,,,0.0,,,,,,
2016-01-02,16.3,,,0.0,,,,,,
2016-01-03,15.2,,,0.0,,,,,,
2016-01-04,17.2,,,0.0,,,,,,
2016-01-05,15.8,,,0.0,,,,,,
2016-01-06,16.1,9.5,,0.0,,,,,,
2016-01-07,16.5,,22.5,0.0,,,,,,
2016-01-08,15.5,,,0.0,,,,,,
2016-01-09,16.3,,,0.0,,,,,,
2016-01-10,16.1,,,0.0,,,,,,
2016-01-11,15.9,,,0.0,,,,,,
2016-01-12,15.7,10.3,,2.8,,,,,,
2016-01-13,14.6,8.0,,0.0,,,,,,
2016-01-14,15.3,,,0.0,,,,,,
2016-01-15,12.4,,,0.0,,,,,,
2016-01-16,13.9,,,0.0,,,,,,
2016-01-17,14.6,,,0.0,,,,,,
2016-01-18,13.2,,,0.0,,,,,,
2016-01-19,11.4,,,0.0,,,,,,
2016-01-20,10.5,,,0.0,,,,,,
2016-01-21,9.9,,,0.0,,,,,,
2016-01-22,9.7,,,0.0,,,,,,
2016-01-23,8.3,4.5,,0.0,,,,,,
2016-01-24,6.4,,,0.0,,,,,,
2016-01-25,7.1,,,0.0,,,,,,
2016-01-26,10.2,,,0.0,,,,,,
2016-01-27,12.9,,,0.0,,,,,,
2016-01-28,15.3,,,0.0,,,,,,
2016-01-29,15.9,,,0.0,,,,,,
2016-01-30,16.1,,,0.0,,,,,,
2016-01-31,16.8,,,0.0,,,,,,
2016-02-01,13.6,,,0.0,,,,,,
2016-02-02,14.6,,,0.0,,,,,,
2016-02-03,16.1,,24.3,0.0,,,,,,
2016-02-04,16.7,,,0.0,,,,,,
2016-02-05,16.8,,,0.0,,,,,,
2016-02-06,17.3,,,0.0,,,,,,
2016-02-07,16.2,,,0.0,,,,,,
2016-02-08,17.2,,,0.0,,,,,,
2016-02-09,16.9,,,0.0,,,,,,
2016-02-10,17.8,,,0.0,,,,,,
2016-02-11,16.4,,,0.0,,,,,,
2016-02-12,13.8,,,0.0,,,,,,
2016-02-13,15.7,,,0.0,,,,,,
2016-02-14,16.2,,,0.0,,,,,,
2016-02-15,16.3,,23.3,0.0,,,,,,
2016-02-16,17.1,,,0.0,,,,,,
2016-02-17,17.2,,,0.0,,,,,,
2016-02-18,18.3,,,0.0,,,,,,
2016-02-19,18.3,,22.2,0.0,,,,,,
2016-02-20,18.3,9.5,,2.0,,,,,,
2016-02-21,19.1,,,0.0,,,,,,
2016-02-22,21.1,,,0.0,,,,,,
2016-02-23,23.6,,,0.0,,,,,,
2016-02-24,23.0,,,0.0,,,,,,
2016-02-25,20.7,,,0.0,,,,,,
2016-02-26,20.7,,,0.0,,,,,,
2016-02-27,22.3,,,0.0,,,,,,
2016-02-28,22.6,,,0.0,,,,,,
2016-02-29,22.5,,,0.0,,,,,,
2016-03-01,23.7,,,0.0,,,,,,
2016-03-02,24.2,,,0.0,,,,,,
2016-03-03,24.1,,,0.0,,,,,,
2016-03-04,21.7,,,0.0,,,,,,
2016-03-05,18.6,,,1.0,,,,,,
2016-03-06,17.9,,,0.0,,,,,,
2016-03-07,22.0,,,0.0,,,,,,
2016-03-08,23.2,,,0.0,,,,,,
2016-03-09,25.2,,,0.0,,,,,,
2016-03-10,24.2,,,0.0,,,,,,
2016-03-11,20.0,,,5.1,,,,,,
2016-03-12,19.6,,,17.0,,,,,,
2016-03-13,19.6,,,3.6,,,,,,
2016-03-14,20.7,,,0.0,,,,,,
2016-03-15,21.6,,,0.0,,,,,,
2016-03-16,21.4,,,0.0,,,,,,
2016-03-17,18.7,,,5.1,,,,,,
2016-03-18,20.8,,,0.8,,,,,,
2016-03-19,24.7,,,0.0,,,,,,
2016-03-20,24.2,,,0.0,,,,,,
2016-03-21,22.7,,,0.0,,,,,,
2016-03-22,24.5,15.6,31.0,0.0,,,4.2,,1011.5,
2016-03-23,27.6,18.3,33.0,0.0,,,,,,
2016-03-24,24.1,,,0.0,,,,,,
2016-03-25,19.0,17.5,23.0,0.0,,,17.9,,,
2016-03-26,22.3,16.0,29.0,9.9,,,4.3,,,
2016-03-27,24.3,17.0,30.0,0.0,,,3.9,,,
2016-03-28,25.2,20.0,31.0,0.0,,,3.8,,,
2016-03-29,26.0,20.0,32.0,0.0,,,3.1,,,
2016-03-30,29.2,21.0,35.0,0.0,,,4.5,,,
2016-03-31,26.2,22.0,31.0,0.0,,,5.3,,,
2016-04-01,27.1,21.0,32.5,0.0,,,4.9,,,
2016-04-02,27.2,22.0,34.0,0.0,,19.0,10.6,,,
2016-04-03,25.2,,,0.0,,,,,,
2016-04-04,26.4,19.2,,0.0,,,,,,
2016-04-05,26.1,21.0,32.0,0.0,,,5.9,,,
2016-04-06,24.3,17.0,31.0,8.1,,55.0,11.3,,1009.3,
2016-04-07,26.4,19.0,33.0,0.0,,,4.2,,1009.8,
2016-04-08,25.5,21.5,30.0,0.0,,,9.1,,,
2016-04-09,25.8,,,1.8,,,,,,
2016-04-10,19.9,,,21.1,,,,,,
2016-04-11,24.3,,,1.5,,,,,,
2016-04-12,27.9,,,0.0,,,,,,
2016-04-13,29.7,19.8,,0.0,,,,,,
2016-04-14,31.6,,,0.0,,,,,,
2016-04-15,,,,,,,,,,
2016-04-16,32.7,25.0,41.0,,,,6.1,,,
2016-04-17,27.4,,,0.0,,,,,,
2016-04-18,30.3,22.0,36.0,0.0,,,,,,
2016-04-19,27.5,24.0,33.0,0.0,,,,,,
2016-04-20,29.4,21.0,37.0,3.3,,,5.0,,,
2016-04-21,29.6,,,0.0,,,,,,
2016-04-22,28.5,22.0,34.0,4.8,,,5.6,,1003.2,
2016-04-23,29.1,20.0,36.5,0.0,,,4.2,,,
2016-04-24,30.1,,,0.0,,,,,,
2016-04-25,30.7,24.0,38.0,0.0,,,3.4,,1004.6,
2016-04-26,30.3,22.0,39.0,0.0,,,,,,
2016-04-27,30.8,23.0,38.0,0.0,,,6.4,,1007.4,
2016-04-28,31.9,,,0.0,,,,,,
2016-04-29,33.4,25.0,40.0,,,,,,1005.8,
2016-04-30,35.2,26.0,43.0,,,,10.0,,1004.3,
2016-05-01,36.2,29.0,44.0,0.0,,,7.8,,,
2016-05-02,35.4,28.0,43.0,0.0,,,,,,
2016-05-03,32.2,27.0,40.0,0.0,,,,,,
2016-05-04,29.4,23.0,36.0,10.9,,346.0,13.2,,,
2016-05-05,29.6,25.0,35.0,0.0,,,7.8,,1007.1,
2016-05-06,32.6,25.0,38.0,0.0,,,,,,
2016-05-07,35.2,28.0,41.0,0.0,,,,,,
2016-05-08,36.6,30.0,43.0,0.0,,,8.6,,1003.7,
2016-05-09,36.3,31.0,43.0,0.0,,,10.8,,1002.7,
2016-05-10,35.6,31.0,43.0,,,,9.5,,,
2016-05-11,32.8,28.0,38.0,0.0,,,12.4,,,
2016-05-12,34.1,28.0,39.5,0.0,,,6.1,,,
2016-05-13,35.8,28.0,43.5,0.0,,,8.6,,,
2016-05-14,33.6,27.0,40.0,0.0,,,13.3,,,
2016-05-15,35.8,,,0.0,,,,,,
2016-05-16,35.2,28.0,42.0,0.0,,,3.8,,,
2016-05-17,37.8,29.0,45.0,0.0,,,2.2,,999.6,
2016-05-18,38.1,30.0,46.0,0.0,,,3.8,,,
2016-05-19,38.8,32.0,46.0,0.0,,,6.7,,996.2,
